,Area (SQFT),Unit Price ($ PSF),Floor,Remaining Tenure,Is Freehold,walk_distance,Condo_Apartment,Landed,East Region,North East Region,North Region,West Region,Resale,Sub Sale
59991,871.88,1351,7,98,0,1182.0,1,0,0,1,0,0,0,0
59992,4327.13,691,0,0,1,1594.0,0,1,0,1,0,0,1,0
59993,1119.46,1742,3,0,1,879.0,1,0,0,0,0,0,1,0
59994,1194.8,963,7,78,0,576.0,1,0,1,0,0,0,1,0
59995,839.59,1513,20,91,0,509.0,1,0,0,0,0,0,1,0
59996,1011.82,1502,17,84,0,1007.0,1,0,0,0,0,0,1,0
59997,656.6,1736,9,97,0,1228.0,1,0,0,0,0,0,0,0
59998,1248.62,647,8,77,0,964.0,0,0,0,0,1,0,1,0
59999,1991.34,728,1,62,0,2626.0,1,0,1,0,0,0,1,0
60000,893.41,1041,4,90,0,1102.0,1,0,1,0,0,0,1,0
60001,495.14,1192,4,93,0,917.0,1,0,0,1,0,0,1,0
60002,592.02,1247,0,0,1,1739.0,1,0,1,0,0,0,1,0
60003,1065.64,1224,4,98,0,1182.0,1,0,0,1,0,0,0,0
60004,925.7,1044,13,80,0,2627.0,1,0,0,0,0,1,1,0
60005,1915.99,2069,0,0,1,673.0,0,1,0,0,0,1,0,0
60006,462.85,1832,13,97,0,302.0,1,0,0,0,0,0,0,0
60007,1097.93,1184,3,0,1,1629.0,1,0,1,0,0,0,1,0
60008,570.49,2384,23,0,1,383.0,1,0,0,0,0,0,1,0
60009,1345.5,1870,37,97,0,462.0,1,0,0,0,0,0,0,0
60010,807.3,1534,24,91,0,576.0,1,0,0,0,0,0,1,0
60011,1001.05,1079,6,90,0,479.0,0,0,0,1,0,0,1,0
60012,925.7,951,9,88,0,1121.0,1,0,0,0,1,0,1,0
60013,1097.93,1577,6,98,0,1289.0,1,0,0,0,0,0,0,0
60014,2142.04,1144,1,0,1,1887.0,1,0,1,0,0,0,1,0
60015,1259.39,798,23,76,0,738.0,1,0,0,0,0,1,1,0
60016,1474.67,1953,5,0,1,434.0,1,0,0,0,0,0,1,0
60017,979.52,1673,4,0,1,673.0,1,0,0,0,0,1,0,0
60018,505.91,1734,3,0,1,673.0,1,0,0,0,0,1,0,0
60019,462.85,1718,2,97,0,302.0,1,0,0,0,0,0,0,0
60020,1054.87,1634,14,97,0,462.0,1,0,0,0,0,0,0,0
60021,839.59,1296,3,0,1,1650.0,1,0,1,0,0,0,1,0
60022,1829.88,3847,32,0,1,829.0,1,0,0,0,0,0,1,0
60023,3407.88,1065,0,0,1,1097.0,0,1,0,0,0,1,1,0
60024,602.78,1344,4,97,0,1917.0,1,0,1,0,0,0,0,0
60025,1076.4,1068,1,91,0,1627.0,1,0,0,1,0,0,1,0
60026,1065.64,1600,2,97,0,292.0,1,0,0,0,0,0,0,0
60027,1700.71,1458,5,88,0,806.0,1,0,0,0,0,0,1,0
60028,1259.39,953,4,0,1,570.0,1,0,0,0,0,0,1,0
60029,828.83,1098,15,90,0,384.0,0,0,0,1,0,0,1,0
60030,2637.18,182,0,15,0,1148.0,0,1,1,0,0,0,1,0
60031,1151.75,1007,12,85,0,352.0,1,0,0,1,0,0,1,0
60032,968.76,2477,4,0,1,970.0,1,0,0,0,0,0,1,0
60033,1827.73,2500,0,0,1,1146.0,0,1,0,0,0,0,1,0
60034,1603.84,1296,4,0,1,1060.0,1,0,0,0,0,1,1,0
60035,1001.05,1079,15,90,0,479.0,0,0,0,1,0,0,1,0
60036,914.94,1367,7,96,0,2432.0,1,0,0,0,1,0,0,0
60037,1377.79,980,2,90,0,1083.0,1,0,1,0,0,0,1,0
60038,2691.0,1041,0,0,1,1993.0,0,1,0,1,0,0,1,0
60039,1291.68,1245,7,0,1,204.0,1,0,0,0,0,0,1,0
60040,462.85,1324,5,98,0,1182.0,1,0,0,1,0,0,0,0
60041,1151.75,1300,20,96,0,358.0,1,0,0,1,0,0,0,0
60042,1033.34,997,4,92,0,1571.0,1,0,1,0,0,0,1,0
60043,828.83,1086,7,90,0,369.0,0,0,0,1,0,0,1,0
60044,1216.33,722,4,78,0,1188.0,1,0,0,0,1,0,1,0
60045,1259.39,1128,3,0,1,1723.0,1,0,0,1,0,0,1,0
60046,861.12,1469,19,85,0,352.0,1,0,0,0,0,0,1,0
60047,1399.32,1608,29,90,0,897.0,1,0,0,0,0,0,1,0
60048,925.7,1858,23,82,0,1707.0,1,0,0,0,0,0,1,0
60049,5881.45,808,0,0,1,1828.0,0,1,0,0,0,0,1,0
60050,473.62,1858,6,92,0,449.0,1,0,0,0,0,1,1,0
60051,527.44,1737,5,98,0,595.0,1,0,0,0,0,0,0,0
60052,1054.87,1641,12,98,0,674.0,1,0,0,0,0,0,0,0
60053,2098.98,1578,21,98,0,595.0,1,0,0,0,0,0,0,0
60054,1054.87,1655,12,98,0,541.0,1,0,0,0,0,0,0,0
60055,527.44,1722,8,98,0,576.0,1,0,0,0,0,0,0,0
60056,775.01,1720,13,98,0,493.0,1,0,0,0,0,0,0,0
60057,775.01,1688,8,98,0,493.0,1,0,0,0,0,0,0,0
60058,645.84,1688,12,98,0,674.0,1,0,0,0,0,0,0,0
60059,527.44,1693,10,98,0,486.0,1,0,0,0,0,0,0,0
60060,645.84,1657,8,98,0,674.0,1,0,0,0,0,0,0,0
60061,645.84,1734,18,98,0,674.0,1,0,0,0,0,0,0,0
60062,527.44,1663,6,98,0,486.0,1,0,0,0,0,0,0,0
60063,850.36,1462,9,98,0,2136.0,1,0,0,1,0,0,0,0
60064,645.84,1711,12,98,0,541.0,1,0,0,0,0,0,0,0
60065,645.84,1641,3,98,0,541.0,1,0,0,0,0,0,0,0
60066,527.44,1767,9,98,0,595.0,1,0,0,0,0,0,0,0
60067,1420.85,1647,11,98,0,541.0,1,0,0,0,0,0,0,0
60068,430.56,1749,17,0,1,782.0,1,0,0,0,0,0,0,0
60069,904.18,1713,15,98,0,576.0,1,0,0,0,0,0,0,0
60070,527.44,1625,4,98,0,486.0,1,0,0,0,0,0,0,0
