Area (SQFT),Unit Price ($ PSF),Type of Sale,Property Type,Planning Region,Floor,Remaining Tenure,Is Freehold,walk_distance
1786.82,1584,Resale,Condominium,Central Region,15,69,0,1205.0
1011.82,1126,Resale,Condominium,West Region,5,0,1,516.0
1011.82,944,Resale,Condominium,East Region,3,0,1,1965.0
1291.68,1712,New Sale,Apartment,West Region,23,97,0,1351.0
2927.81,991,Resale,Terrace House,Central Region,0,84,0,683.0
742.72,2256,Resale,Apartment,Central Region,14,89,0,182.0
818.06,2767,New Sale,Condominium,Central Region,5,0,1,893.0
818.06,2815,New Sale,Condominium,Central Region,7,0,1,893.0
2216.31,821,Resale,Terrace House,East Region,0,74,0,1475.0
4624.21,800,Resale,Semi-Detached House,Central Region,0,0,1,921.0
570.49,2778,New Sale,Apartment,Central Region,2,0,1,1035.0
968.76,1061,New Sale,Executive Condominium,North East Region,8,96,0,683.0
516.67,1016,Resale,Condominium,North Region,1,89,0,1890.0
4669.42,2463,Resale,Detached House,Central Region,0,0,1,919.0
1237.86,1018,Resale,Condominium,West Region,7,0,1,2585.0
1420.85,1698,New Sale,Condominium,Central Region,14,96,0,541.0
645.84,2674,New Sale,Apartment,Central Region,32,0,1,740.0
753.48,2182,Resale,Apartment,Central Region,6,89,0,182.0
785.77,942,Resale,Executive Condominium,North East Region,16,88,0,449.0
1087.16,1278,New Sale,Condominium,East Region,4,96,0,1517.0
764.24,1766,New Sale,Condominium,Central Region,18,96,0,576.0
1442.38,587,Resale,Executive Condominium,West Region,1,75,0,532.0
1474.67,2204,Resale,Condominium,Central Region,4,0,1,547.0
1044.11,1020,New Sale,Executive Condominium,North East Region,4,96,0,683.0
1151.75,2988,New Sale,Condominium,Central Region,4,0,1,308.0
818.06,2805,New Sale,Condominium,Central Region,6,0,1,893.0
1194.8,3666,Resale,Apartment,Central Region,57,89,0,263.0
2055.92,985,Resale,Condominium,East Region,5,0,1,1220.0
527.44,1328,New Sale,Condominium,East Region,5,96,0,1888.0
958.0,2004,Resale,Condominium,Central Region,3,90,0,1136.0
871.88,1090,Sub Sale,Apartment,North East Region,4,92,0,157.0
904.18,1605,New Sale,Condominium,Central Region,1,96,0,576.0
527.44,1687,New Sale,Condominium,Central Region,8,96,0,486.0
731.95,1161,Resale,Condominium,East Region,3,0,1,2519.0
1302.44,1697,Resale,Condominium,Central Region,4,0,1,755.0
742.72,1656,Resale,Condominium,Central Region,7,0,1,623.0
1302.44,1190,Resale,Condominium,East Region,12,86,0,329.0
2012.87,2037,Resale,Condominium,Central Region,26,0,1,998.0
828.83,1599,Resale,Condominium,Central Region,3,88,0,978.0
1076.4,780,Resale,Apartment,North East Region,13,74,0,2013.0
5313.11,1430,Resale,Detached House,Central Region,0,0,1,775.0
731.95,2118,Resale,Condominium,Central Region,48,83,0,443.0
1733.0,2250,Resale,Apartment,Central Region,13,80,0,389.0
624.31,1578,New Sale,Apartment,West Region,4,0,1,673.0
656.6,2135,New Sale,Apartment,Central Region,22,96,0,1653.0
1076.4,1496,Resale,Condominium,Central Region,14,88,0,811.0
635.08,1228,Resale,Apartment,West Region,5,0,1,1948.0
1076.4,909,Resale,Condominium,East Region,2,75,0,509.0
1765.3,2619,New Sale,Apartment,Central Region,22,0,1,1503.0
1517.72,1546,New Sale,Apartment,West Region,32,95,0,2955.0
1280.92,1277,New Sale,Condominium,North East Region,17,94,0,358.0
968.76,1089,New Sale,Executive Condominium,North East Region,7,96,0,683.0
2884.75,3189,Resale,Condominium,Central Region,22,0,1,1256.0
8220.47,2044,Resale,Detached House,Central Region,0,85,0,3322.0
968.76,893,Resale,Executive Condominium,West Region,15,89,0,353.0
527.44,1890,New Sale,Apartment,Central Region,17,96,0,363.0
624.31,1650,Resale,Apartment,Central Region,4,0,1,2246.0
559.73,1304,Resale,Apartment,Central Region,4,0,1,925.0
592.02,1428,New Sale,Condominium,East Region,5,96,0,1619.0
1194.8,803,Resale,Executive Condominium,East Region,7,74,0,759.0
1280.92,2080,Resale,Condominium,Central Region,3,85,0,773.0
3153.85,3674,Resale,Condominium,Central Region,18,0,1,463.0
1162.51,1075,Resale,Condominium,West Region,3,81,0,1067.0
839.59,1812,New Sale,Apartment,Central Region,17,96,0,399.0
914.94,811,Resale,Executive Condominium,East Region,3,90,0,1575.0
1765.3,2606,Resale,Condominium,Central Region,16,0,1,1380.0
1560.78,2050,Resale,Condominium,Central Region,2,84,0,1037.0
904.18,1140,New Sale,Executive Condominium,North East Region,9,96,0,672.0
1162.51,2088,Resale,Apartment,Central Region,6,89,0,182.0
441.32,1303,Sub Sale,Apartment,North East Region,6,92,0,333.0
1539.25,1152,Resale,Condominium,West Region,7,0,1,869.0
645.84,1810,New Sale,Condominium,Central Region,22,96,0,541.0
1054.87,1698,New Sale,Condominium,Central Region,16,96,0,674.0
1248.62,1782,Resale,Apartment,Central Region,26,0,1,575.0
1001.05,1448,Resale,Condominium,North East Region,28,85,0,204.0
2685.62,953,Resale,Terrace House,North East Region,0,0,1,2433.0
1162.51,2500,Resale,Apartment,Central Region,25,89,0,182.0
785.77,2116,New Sale,Apartment,Central Region,39,94,0,619.0
775.01,1232,Resale,Condominium,West Region,21,90,0,1086.0
1367.03,936,Resale,Condominium,West Region,11,86,0,623.0
1227.1,815,Resale,Condominium,West Region,13,74,0,803.0
742.72,1585,New Sale,Condominium,Central Region,3,96,0,1644.0
839.59,1405,Resale,Condominium,East Region,7,91,0,727.0
613.55,1773,Resale,Apartment,Central Region,46,80,0,389.0
1270.15,756,Resale,Apartment,East Region,5,0,1,1687.0
1485.43,1818,Resale,Condominium,Central Region,3,0,1,1239.0
1237.86,872,Resale,Executive Condominium,North East Region,7,88,0,207.0
764.24,1014,Resale,Condominium,East Region,3,88,0,2282.0
1054.87,872,Resale,Executive Condominium,West Region,7,89,0,410.0
893.41,1691,New Sale,Apartment,Central Region,5,96,0,906.0
1237.86,683,Resale,Condominium,North Region,1,75,0,1401.0
1011.82,2095,Resale,Condominium,Central Region,1,0,1,683.0
1108.69,1937,New Sale,Apartment,Central Region,16,96,0,1653.0
